2025-04-14 08:50:23.008 | INFO     | model.model_service:load_model:15 - Checking a model exists config model file at model\models/rf_db_v1
2025-04-14 08:50:23.009 | INFO     | model.model_service:load_model:31 - Model rf_db_v1 exists.!!loading configuration model file
2025-04-14 08:50:23.672 | INFO     | model.model_service:predict:40 - Make Prediction
2025-04-14 08:50:23.742 | INFO     | __main__:main:23 - Prediction :[2216.8427822]
2025-04-14 08:53:15.913 | INFO     | model.model_service:load_model:15 - Checking a model exists config model file at model\models/rf_db_v1
2025-04-14 08:53:15.913 | INFO     | model.model_service:load_model:31 - Model rf_db_v1 exists.!!loading configuration model file
2025-04-14 08:53:15.971 | INFO     | model.model_service:predict:40 - Make Prediction
2025-04-14 08:53:16.031 | INFO     | __main__:main:23 - Prediction :[2216.8427822]
2025-04-14 08:55:18.205 | INFO     | model.model_service:load_model:15 - Checking a model exists config model file at model\models/rf_db_v1
2025-04-14 08:55:18.210 | INFO     | model.model_service:load_model:31 - Model rf_db_v1 exists.!!loading configuration model file
2025-04-14 08:55:18.270 | INFO     | model.model_service:predict:40 - Make Prediction
2025-04-14 08:55:18.343 | INFO     | __main__:main:23 - Prediction :[2216.8427822]
2025-04-14 08:58:33.115 | INFO     | model.model_service:load_model:15 - Checking a model exists config model file at model\models/rf_db_v1
2025-04-14 08:58:33.119 | INFO     | model.model_service:load_model:31 - Model rf_db_v1 exists.!!loading configuration model file
2025-04-14 08:58:33.174 | INFO     | model.model_service:predict:40 - Make Prediction
2025-04-14 08:58:33.239 | INFO     | __main__:main:23 - Prediction :[2216.8427822]
